iter	Passed	Remaining
0	1	188
1	2	145
2	4	134
3	4	119
4	6	114
5	7	112
6	8	109
7	9	107
8	10	105
9	11	104
10	12	103
11	13	102
12	15	100
13	16	99
14	17	97
15	18	97
16	19	96
17	21	95
18	22	94
19	23	93
20	24	92
21	25	91
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	39	76
34	40	75
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	48	69
41	48	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	118	0
